gps_deviation_km,location_consistency,claim_frequency_30d,account_age_months,multiple_claims_per_day,orders_during_disruption,avg_payout_inr,trust_score,zone_risk_tier,is_fraud
0.44,0.974,2,1.0,0,2,385,97.0,1,0
1.292,0.78,1,6.0,0,0,477,89.0,3,0
0.383,0.719,2,5.5,0,1,318,58.8,1,0
0.413,0.759,2,16.1,0,1,270,71.1,3,0
0.541,0.424,0,6.9,1,0,494,82.2,1,0
1.233,0.592,1,19.0,0,1,398,62.5,2,0
0.222,0.838,2,12.6,0,1,412,84.7,2,0
0.344,0.846,0,8.9,0,2,363,73.3,2,0
0.556,0.781,0,31.6,0,2,566,93.5,3,0
0.194,0.947,3,5.2,1,0,472,37.3,1,0
0.006,0.453,0,0.5,2,1,216,59.3,1,0
0.238,0.788,1,5.3,1,2,481,66.1,2,0
0.696,0.862,3,8.4,0,1,388,70.9,2,0
0.826,0.889,0,4.2,0,2,440,67.5,2,0
0.004,0.783,2,10.6,1,1,450,55.4,1,0
0.571,0.767,0,7.5,0,3,299,80.5,2,0
0.002,0.853,3,9.2,0,2,171,78.7,2,0
0.731,0.714,1,8.0,0,0,461,65.9,1,0
2.281,0.958,6,4.3,1,1,406,89.5,2,0
1.358,0.961,0,5.9,0,0,352,89.9,2,0
0.829,0.915,3,1.4,0,0,187,66.4,3,0
0.249,0.866,4,1.4,2,0,499,36.1,1,0
0.062,0.75,2,30.7,1,1,563,62.3,2,0
0.316,0.827,1,9.0,0,2,278,95.7,2,0
0.475,0.719,1,13.6,0,0,331,91.5,1,0
1.077,0.888,1,10.7,1,0,344,59.2,3,0
2.082,0.882,3,60.0,0,2,218,32.8,1,0
0.493,0.798,1,31.3,0,0,348,69.4,2,0
0.634,0.834,0,60.0,0,0,552,81.6,3,0
1.297,0.677,1,5.1,0,2,368,53.7,3,0
0.001,0.536,2,15.2,2,0,172,91.1,1,0
0.062,0.655,1,17.8,0,1,470,70.3,1,0
1.002,0.805,3,17.7,0,0,346,60.3,2,0
0.25,0.982,1,9.2,0,0,313,94.8,3,0
0.351,0.738,2,46.6,0,1,303,85.3,1,0
0.405,0.725,1,20.8,0,2,527,53.2,3,0
1.383,0.72,2,5.2,0,0,400,83.6,3,0
0.8,0.851,2,11.0,0,0,447,51.6,2,0
0.172,0.777,2,10.6,0,1,452,37.4,1,0
0.067,0.811,1,19.4,1,0,453,80.4,1,0
0.023,0.957,2,2.2,0,1,337,62.2,1,0
0.077,0.67,3,5.6,0,2,313,61.5,1,0
0.021,0.827,3,1.9,1,1,431,59.6,3,0
0.3,0.822,2,25.5,1,1,441,40.6,3,0
0.034,0.773,0,12.3,0,1,291,54.1,3,0
0.016,0.895,1,4.8,0,0,444,50.4,3,0
0.595,0.825,2,15.8,1,1,338,83.1,3,0
0.765,0.713,3,48.7,0,0,484,89.0,2,0
0.589,0.921,1,12.3,0,1,433,88.7,3,0
1.029,0.546,3,9.5,0,0,409,82.3,2,0
1.535,0.813,1,9.9,1,2,320,40.8,2,0
1.153,0.811,1,6.8,0,1,326,68.5,3,0
0.102,0.869,1,15.1,1,0,440,86.7,2,0
0.494,0.907,5,2.2,0,2,288,77.8,3,0
0.761,0.751,2,4.3,1,2,366,70.5,3,0
0.131,0.838,2,3.2,1,0,325,87.7,1,0
0.151,0.856,3,5.7,1,0,226,74.0,2,0
0.23,0.9,2,23.0,1,0,297,84.0,1,0
0.168,0.855,2,32.9,1,2,388,81.1,3,0
1.91,0.973,0,60.0,0,0,209,82.3,1,0
0.651,0.709,5,60.0,0,0,333,55.4,1,0
2.085,0.77,2,12.6,0,1,377,92.7,3,0
0.711,0.769,1,23.5,0,0,349,48.6,3,0
1.021,0.989,1,2.4,0,1,465,41.7,2,0
0.011,0.735,3,8.8,0,0,247,76.0,3,0
0.221,0.651,1,30.0,0,1,366,80.0,1,0
0.041,0.763,3,3.1,0,3,402,76.3,3,0
0.196,0.679,2,18.5,0,2,309,91.0,2,0
1.326,0.823,2,31.0,0,1,392,66.2,1,0
2.909,0.746,3,33.8,0,0,84,75.5,1,0
