hourly_rate,normal_work_hours,rainfall_mm,traffic_disruption,aqi,day_of_week,is_peak_hour,city_index,income_lost_inr
82,7.8,52.9,0.291,91,3,0,4,209.39
78,10.2,3.9,0.095,112,4,0,6,19.11
90,7.6,46.3,0.336,64,4,0,3,214.11
114,11.0,11.4,0.177,66,0,1,2,175.87
67,8.2,6.5,0.621,58,4,0,6,125.08
61,6.4,21.4,0.209,109,2,1,0,53.08
90,6.7,9.4,0.557,22,1,0,0,113.98
73,10.6,21.0,0.263,131,3,0,7,185.37
90,10.6,8.5,0.068,89,3,0,3,50.23
83,8.4,6.5,0.211,53,6,0,0,112.66
77,12.0,11.2,0.144,104,0,1,7,95.65
70,7.3,16.9,0.3,31,6,1,2,64.12
81,7.2,0.6,0.451,18,5,0,1,18.8
74,9.2,6.2,0.282,22,1,1,3,81.1
97,9.3,2.2,0.197,139,2,0,7,158.16
82,8.5,35.9,0.298,160,6,0,4,114.51
61,9.5,42.9,0.524,29,6,0,7,171.25
101,11.4,28.9,0.312,48,3,0,3,260.01
78,8.8,8.6,0.199,235,1,1,4,67.85
111,12.0,16.9,0.369,20,5,0,1,182.14
76,11.7,30.6,0.144,38,2,1,4,157.49
68,10.2,24.6,0.728,437,6,0,3,187.12
76,10.2,9.2,0.434,80,6,0,7,109.72
78,10.4,1.9,0.311,47,3,1,0,15.01
76,11.2,28.9,0.438,16,2,0,1,213.89
71,11.0,20.6,0.222,33,1,1,4,127.66
73,10.3,6.2,0.427,273,3,1,6,112.6
105,10.9,7.5,0.173,85,4,1,0,105.49
76,8.6,54.3,0.354,98,3,1,1,105.64
112,9.0,11.0,0.317,97,6,1,4,160.09
96,11.4,2.2,0.182,70,6,0,6,99.52
79,6.5,2.1,0.628,129,0,0,6,74.4
90,10.7,0.8,0.402,332,4,0,1,243.61
72,10.0,10.6,0.23,41,3,0,4,84.02
96,6.9,0.3,0.399,172,0,1,4,91.24
100,8.5,20.4,0.378,186,3,0,6,226.18
89,10.4,4.6,0.116,80,5,0,5,104.03
72,10.3,5.0,0.14,152,4,1,7,51.32
89,10.1,17.2,0.219,135,1,1,3,150.56
70,6.9,1.3,0.53,34,1,0,0,88.87
59,10.7,9.0,0.124,273,3,0,1,110.72
84,6.8,5.5,0.326,169,0,1,2,83.78
56,11.9,1.3,0.313,412,5,1,7,103.84
74,6.9,4.2,0.008,332,4,0,7,58.74
86,9.6,11.9,0.105,11,3,1,7,34.43
103,10.7,13.1,0.383,52,4,0,2,149.59
70,6.0,1.6,0.171,39,3,1,3,13.09
65,10.3,33.5,0.293,41,5,0,1,117.24
92,7.3,2.4,0.43,55,1,1,3,67.8
83,7.1,13.1,0.507,31,6,1,2,132.67
81,6.4,4.7,0.307,57,2,0,3,32.02
58,7.1,14.6,0.269,83,4,1,7,70.46
96,9.7,20.1,0.265,67,6,0,6,130.05
50,12.0,1.0,0.52,135,3,1,2,138.8
83,9.4,19.1,0.366,126,6,0,3,202.9
98,9.6,1.5,0.39,80,3,0,7,86.31
82,8.3,8.8,0.222,88,3,1,4,23.56
76,6.2,4.9,0.202,75,2,1,1,17.27
64,10.4,4.4,0.001,417,3,0,3,150.69
71,6.5,2.0,0.279,158,1,1,6,53.4
113,10.3,13.5,0.348,18,3,1,3,269.36
72,11.0,4.3,0.273,39,0,0,4,135.28
87,7.3,8.5,0.392,237,5,0,2,160.14
67,10.7,0.2,0.134,28,5,1,5,7.88
75,11.5,11.1,0.144,20,4,0,7,119.1
56,9.3,13.6,0.118,50,5,0,0,63.14
79,8.6,0.8,0.688,27,4,1,4,148.88
75,9.3,9.1,0.149,20,2,0,6,19.12
100,10.8,15.0,0.565,39,5,0,3,199.13
67,9.7,1.8,0.532,51,5,0,3,113.33
74,9.4,0.5,0.37,29,4,0,2,116.25
94,8.4,2.6,0.153,19,1,0,4,0.0
79,6.2,5.2,0.151,147,0,1,5,96.58
78,6.9,6.7,0.171,47,2,1,2,33.1
77,9.1,0.9,0.414,30,4,0,1,16.28
65,9.9,46.5,0.432,25,5,0,1,128.52
74,7.1,14.0,0.271,62,3,0,4,0.0
81,10.1,1.7,0.354,164,4,1,2,52.01
63,9.1,19.2,0.367,147,5,0,6,92.41
64,10.0,4.6,0.299,186,1,0,0,121.13
98,9.2,5.6,0.556,113,5,0,1,197.57
88,8.6,0.9,0.491,120,4,1,0,122.24
85,7.9,6.6,0.179,26,4,0,3,74.51
72,7.0,1.0,0.185,56,6,0,6,55.05
83,6.5,13.7,0.176,110,5,0,2,95.31
50,11.1,5.0,0.351,72,6,0,0,85.72
62,9.3,4.2,0.044,79,1,1,4,0.0
89,11.9,12.5,0.375,113,5,0,1,170.85
70,11.1,14.0,0.215,225,0,1,4,161.51
77,6.7,12.2,0.187,43,6,0,6,0.0
85,11.2,18.7,0.19,148,5,1,4,155.59
69,10.7,12.2,0.433,150,3,1,6,115.03
71,11.9,34.8,0.171,114,4,0,2,119.96
75,11.3,10.0,0.154,13,3,1,4,68.87
82,8.1,25.9,0.287,110,5,1,0,119.67
56,9.9,39.0,0.307,65,5,1,4,99.21
85,9.8,2.1,0.331,312,4,0,4,134.84
80,11.6,13.6,0.096,130,0,0,7,67.75
82,7.0,12.8,0.268,35,0,1,4,77.52
69,8.6,24.4,0.066,79,4,0,4,108.51
79,9.5,4.9,0.235,23,4,0,5,58.78
