months_active,trust_score,avg_monthly_income,fraud_flags,existing_loans,claims_paid,zone_tier,is_eligible,max_loan_amount
8.5,58.3,12818,0,0,6,1,1,8689
6.3,69.4,13268,0,2,1,2,0,0
48.0,54.8,10984,0,0,4,2,1,10000
2.1,74.5,7034,0,0,0,3,0,0
2.5,61.9,8015,0,0,3,3,0,0
5.8,50.2,10193,0,0,2,2,1,6322
1.7,72.1,7928,0,0,2,3,0,0
27.9,65.4,9426,0,0,2,3,1,10000
9.2,66.8,9910,1,0,2,2,0,0
21.5,68.8,8081,0,3,4,2,0,0
4.5,76.4,13270,0,2,6,1,0,0
10.9,63.3,3057,0,3,4,1,0,0
12.4,69.5,16002,0,0,3,3,1,10000
13.3,42.3,14210,0,1,4,3,1,10000
0.8,62.7,9169,0,3,5,2,0,0
18.7,64.3,4653,0,1,3,2,0,0
8.6,56.2,17773,0,0,1,2,1,10000
2.5,73.9,12358,0,1,6,2,0,0
0.5,63.6,14994,1,1,5,2,0,0
33.1,45.5,10305,0,2,3,3,0,0
17.9,68.4,17344,0,1,2,1,1,10000
27.4,48.4,10402,0,0,5,1,1,10000
6.6,45.7,14068,0,0,4,2,1,8963
0.5,88.6,6918,0,2,4,1,0,0
4.9,77.6,12667,0,1,5,2,1,7634
7.5,38.3,15479,0,2,3,2,0,0
0.6,57.1,13095,0,2,2,2,0,0
24.4,58.3,17139,0,1,3,1,1,10000
23.1,55.6,13367,1,0,3,2,0,0
4.0,89.3,11653,0,0,8,3,1,6799
12.4,72.5,14143,0,1,2,2,1,10000
7.7,35.2,10468,1,0,1,1,0,0
1.4,67.6,12123,0,1,1,2,0,0
9.5,59.7,12506,1,2,4,2,0,0
0.5,54.3,6775,0,0,1,1,0,0
15.3,46.2,16484,0,2,0,1,0,0
6.8,50.3,12531,0,0,2,3,1,8036
11.8,47.7,14058,0,0,5,3,1,10000
9.4,78.7,12499,0,2,5,2,0,0
24.5,66.1,6606,0,2,3,2,0,0
4.3,47.3,6972,0,2,5,1,0,0
7.3,68.8,13360,0,1,3,3,1,8720
6.0,44.2,9184,0,0,6,1,1,5743
3.5,62.1,10973,0,0,3,1,1,6286
48.0,86.3,12017,0,1,3,2,1,10000
4.5,41.2,16565,0,1,4,1,1,9853
1.6,71.3,10126,0,3,5,3,0,0
17.9,49.8,15961,0,1,3,1,1,10000
13.6,67.2,19527,0,1,4,1,1,10000
3.3,74.1,13727,0,0,2,3,1,7808
1.8,76.0,11793,0,1,4,2,0,0
12.4,84.2,8880,1,0,1,1,0,0
6.9,73.3,15634,0,1,5,2,1,10000
0.5,71.6,14461,0,0,2,1,0,0
0.9,56.7,11521,0,0,1,2,0,0
9.3,55.8,6461,0,0,0,2,0,0
0.6,76.3,7146,0,0,5,3,0,0
0.5,27.1,9174,0,0,4,1,0,0
1.3,78.7,15810,0,0,4,2,0,0
13.5,65.2,6646,0,0,1,2,0,0
1.3,61.2,8640,0,2,6,3,0,0
12.2,57.1,11226,0,0,2,2,1,8463
38.6,81.2,13543,0,1,4,3,1,10000
33.4,71.7,15906,0,2,4,1,0,0
3.4,63.9,10027,0,1,3,2,1,5727
0.5,59.0,5555,0,0,3,2,0,0
14.8,46.4,16940,0,2,4,3,0,0
4.2,27.6,13382,0,0,1,2,0,0
6.5,57.3,5492,0,2,4,2,0,0
17.6,66.9,7777,0,0,0,2,0,0
0.5,73.5,11833,1,3,2,2,0,0
6.2,45.9,13824,1,0,5,2,0,0
1.2,27.6,9848,0,0,4,1,0,0
7.0,63.0,10224,0,1,5,3,1,6605
29.8,90.4,13781,0,2,5,2,0,0
3.4,72.3,9240,0,0,2,1,1,5272
6.7,82.0,16287,0,1,5,3,1,10000
7.4,83.9,15258,0,2,0,2,0,0
26.2,54.2,12281,0,1,0,3,1,10000
0.7,39.1,9461,0,0,2,2,0,0
1.1,64.1,13265,0,2,2,3,0,0
0.7,64.8,14832,0,1,2,2,0,0
31.2,83.4,14822,1,0,3,1,0,0
19.4,74.0,8316,0,2,2,1,0,0
5.1,74.9,13083,0,0,3,1,1,7932
16.9,47.0,9273,0,0,6,1,1,7898
14.9,61.2,7800,0,0,2,3,0,0
11.8,46.1,10730,0,0,4,1,1,8011
1.1,78.6,9918,0,0,5,3,0,0
9.2,71.8,14767,1,0,1,1,0,0
13.2,38.2,6031,0,0,2,3,0,0
9.6,76.2,12187,0,1,1,2,1,8536
3.0,83.2,13018,0,0,2,1,0,0
20.8,73.2,16605,0,1,3,1,1,10000
13.2,24.4,13821,0,3,6,1,0,0
31.2,51.8,7378,0,0,3,2,0,0
1.0,73.4,5311,0,1,3,3,0,0
10.7,55.1,9280,0,1,0,3,1,6705
11.7,36.9,10291,0,1,6,2,0,0
8.0,74.4,9112,0,2,4,1,0,0
15.3,88.3,13160,0,1,3,3,1,10000
26.5,39.7,14756,0,1,2,3,0,0
3.8,83.7,14753,0,0,1,1,1,8551
7.5,53.7,14902,0,1,3,1,1,9782
15.1,61.3,16518,0,0,4,2,1,10000
0.5,34.9,14776,0,0,1,1,0,0
