rainfall_mm,aqi,traffic_disruption,temperature_c,flood_history_score,visibility_km,humidity_pct,wind_speed_kmh,month,risk_level
7.0,194,0.667,39.6,2,2.1,31.9,4.3,5,MEDIUM
45.2,222,0.123,34.0,1,4.7,84.1,2.4,11,LOW
19.8,30,0.33,34.1,3,6.6,44.2,5.6,3,LOW
13.7,197,0.404,35.7,0,8.8,69.2,27.1,12,LOW
2.5,47,0.232,23.9,1,4.0,44.1,19.3,4,LOW
2.5,179,0.554,19.6,2,3.5,42.3,6.7,3,LOW
0.9,85,0.651,37.8,1,4.0,53.4,7.9,10,MEDIUM
30.2,92,0.337,19.8,2,5.3,94.5,5.3,2,LOW
13.8,78,0.089,25.8,1,3.5,46.6,29.0,6,LOW
18.5,237,0.086,43.1,2,2.9,33.4,45.0,6,MEDIUM
0.3,33,0.31,33.4,0,4.1,91.8,3.4,3,LOW
52.6,146,0.35,35.0,0,7.9,60.7,29.9,5,LOW
26.8,217,0.509,37.0,1,2.9,73.5,30.0,12,LOW
3.6,160,0.29,36.7,2,8.5,92.0,6.4,9,MEDIUM
3.0,500,0.244,31.8,1,3.2,82.9,5.4,10,MEDIUM
3.0,59,0.314,24.8,1,6.2,85.8,20.3,1,LOW
5.4,194,0.277,50.0,0,9.7,63.6,28.7,7,MEDIUM
11.2,83,0.2,29.7,2,9.5,78.1,5.1,1,LOW
8.5,241,0.621,34.6,0,4.6,97.5,6.8,6,MEDIUM
5.2,89,0.313,35.5,1,1.1,92.3,4.1,5,LOW
14.2,66,0.091,27.7,1,9.1,72.9,2.3,4,LOW
2.3,256,0.272,28.6,1,1.7,36.0,55.8,3,LOW
5.2,61,0.452,43.9,2,9.3,98.6,2.1,10,LOW
6.8,30,0.344,26.1,0,7.5,45.8,16.8,4,LOW
9.1,60,0.175,35.3,2,9.4,55.3,5.5,12,LOW
23.1,148,0.621,39.2,0,6.8,39.8,0.9,11,MEDIUM
3.3,274,0.401,30.3,2,10.0,41.7,3.9,1,MEDIUM
10.8,98,0.128,31.2,0,4.9,85.7,0.9,5,LOW
13.5,258,0.094,39.7,0,3.6,39.0,40.1,9,LOW
0.7,30,0.178,30.9,0,4.2,43.3,3.1,6,LOW
